"","SC78_1_r6_f1","SC78_1_r6_f2","SC78_1_r6_f3","SC78_1_r6_f5","SC78_1_r6_f6","SC78_2_r6_f3","SC78_2_r6_f4","SC78_2_r6_f5","SC78_2_r6_f6","SC78_4_r5_f2","SC78_4_r5_f3","SC78_4_r5_f4","SC78_4_r5_f5","SC78_5_r5_f1","SC78_5_r5_f2","SC78_5_r5_f3","SC78_5_r5_f4","SC78_5_r5_f5","SC78_6_r6_f1","SC78_6_r6_f2","SC78_6_r6_f3","SC78_6_r6_f5","SC78_6_r6_f6","SC78_8_r5_f1","SC78_8_r5_f3","SC78_8_r5_f4","SC78_8_r5_f5","SC78_9_r4_f1","SC78_9_r4_f2","SC78_9_r4_f4"
"Rps28",3.16987643756515,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.544533761066279,2.22044604925031e-16,0.900106472372494,19.4616786170943,2.30359390536323,2.22044604925031e-16,2.22044604925031e-16,11.1826339688387,2.22044604925031e-16,2.22044604925031e-16,15.4231423903933,4.00957675043794,2.22044604925031e-16,1.01862082159899,1.03485451073474,2.22044604925031e-16,2.21838144145848,16.5375114686067,26.2258314265245
"Ndufa7",2.22044604925031e-16,7.47329106890179,7.32356548122152,7.44445063384202,3.57691786970319,2.22044604925031e-16,11.4845630484077,5.40748556526153,0.873832107018711,6.60288844798221,3.14855231947061,7.66702538596852,4.40727057074478,3.3955700765444,9.59450578778726,4.54962342789251,3.30657080586665,4.46418290787017,6.39830036242323,1.50918499672344,4.03353139152581,13.1583862556294,2.86453000957611,7.45962528466689,6.13027137498304,8.81890464148688,4.55156276465333,4.29128261097019,5.89536991930827,10.1641200763345
"Kifc1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.286315099948471,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daxx",0.764560682273642,0.444831651298656,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.12466831215397,0.592610347986612,0.581421506166234,0.400089438718035,0.000136362929354896,2.22044604925031e-16,1.69305557743507,0.377396200679437,1.70451665007406,0.973694724432776,1.07195140954286,0.00902180778569395,1.08908416082574,0.65075879550009,0.959824906637713,1.07293662274271,4.42472380730571e-05,0.794125535603936,0.124938591064978,0.949399126394791,0.39128385245915,0.402972254520653,0.565391365051843,0.640396875226221,1.30965179402753
"Tapbp",4.20379403366922,19.6439199165739,5.50366166612976,11.1078258800669,4.9079223531696,5.73281965112939,9.27614120630079,6.01556475553608,10.6796702435914,13.731673533261,5.38048396039883,10.4062299360506,6.69822592931816,16.4000253208491,6.97370012173873,3.88571803588061,7.35977044453128,11.3025023112355,5.94320963007343,16.2287333496162,10.5477542106759,6.72106216887861,12.3155168525754,8.73433395811453,9.18529280409625,12.2080071068553,4.38937311951173,7.23206749943146,3.59722267475276,10.5134910136554
"Zbtb22",0.665087418210171,1.59867923220749,0.399222116809745,2.22044604925031e-16,1.41955667798679,2.22044604925031e-16,0.751188670164889,0.849035895319727,0.192950729427231,0.523094413861224,0.486150000637384,2.22044604925031e-16,2.22044604925031e-16,0.701019702125751,1.28039712614283,1.33658503361376,0.445316533865722,0.0679635452440103,1.39427721608146,0.615783889664366,0.943764053480268,1.04379100304823,0.538663070323936,0.581494300775785,0.432819711375563,0.516423140525807,0.627002281792729,0.442898240765756,0.990587721233247,0.512971461002917
"Rgl2",1.3542040067989,4.0037641288466,3.77797289303149,4.7489324304704,2.55463483056076,3.59587292913976,2.4790317302331,2.87028868494447,2.6114737076281,2.87224471278843,3.98375573324237,3.00346643875045,2.79661426005679,1.52766392758823,2.71009962731401,2.65849297641258,4.18673811446458,1.6501780950058,3.80200641955611,1.33737609528559,1.3608125086015,2.64466235333224,0.332295041952926,1.74481489744995,3.1145147252688,1.97128663109298,1.53763004487659,1.11870680830735,2.9733135638839,2.72082902995352
"Vps52",0.457307710729406,0.187598911264735,1.75178709271335,0.956315799201492,0.482040927672474,0.626333719497151,0.582069567246856,0.316973731921214,0.779117572846305,0.53420033089441,0.390605178002161,0.311590329514781,0.571502327508578,2.22044604925031e-16,1.02970146521023,1.01377601899655,0.435671369566699,0.318960878872903,0.830936866820256,1.67087027181261e-11,0.174544030860487,0.584403544265173,2.22044604925031e-16,2.22044604925031e-16,1.27182132043315,0.193922982423308,0.907485867590712,0.250849050290029,0.790414817725126,0.994804330155492
"H2-K1",7.21042615323912,28.950594170395,25.8656732138552,51.9303900385343,41.4521581603294,18.4931829274668,35.5351212401653,35.4510808761368,43.9210076363128,37.3715379277118,24.5303005620423,39.9617179638641,26.805123264864,49.258668376643,19.1104857274236,11.2297311438332,33.6584327970157,35.4931124364692,14.8844730304428,41.4039081244742,25.335535310347,22.9206018027334,26.8325923197619,28.5333667641764,27.6560556787186,46.8164910095523,23.0597351728923,20.2993941002415,8.8044684537226,26.4188098344332
"Ring1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.353983650121843,2.22044604925031e-16,0,0,0,0,2.22044604925031e-16,2.22044604925031e-16,0.210842566218226,0.165775083752376,0,0,0,0,0,0,0,0,0,0,1.0589695584797e-11,2.22044604925031e-16,0.735469599951387,0.0930835125597727,0,0,0
