"gene"	"out"	"MP"
"Atp6v1g1"	20.3620364578276	"MP1"
"Arg2"	20.3612712974943	"MP1"
"Trpm7"	20.3464769370466	"MP1"
"BC005537"	20.3071814781631	"MP1"
"Dnajb9"	20.2842938850859	"MP1"
"Rac1"	20.2700083188917	"MP1"
"Jmjd1c"	20.2355362989617	"MP1"
"Hp"	20.2106076262933	"MP1"
"Klhl24"	20.1568138399952	"MP1"
"Prrc2c"	20.1492476821516	"MP1"
"Psenen"	20.141747052225	"MP1"
"Gsk3b"	20.0983048406938	"MP1"
"Pbx1"	20.0674313354458	"MP1"
"Srsf11"	20.058555442081	"MP1"
"Emb"	20.0201522547761	"MP1"
"Osbpl8"	19.9997555132116	"MP1"
"Luc7l2"	19.9822879272932	"MP1"
"Rheb"	19.9379866633273	"MP1"
"Slc38a1"	19.9218229546464	"MP1"
"Atp6v1b2"	19.863677004749	"MP1"
"Srsf2"	19.8605225238638	"MP1"
"Ppp2r5a"	19.8574982207918	"MP1"
"Mef2d"	19.7817719844923	"MP1"
"Nr4a1"	19.7341881870959	"MP1"
"Sec61b"	19.7253171025275	"MP1"
"Itch"	19.7127657914657	"MP1"
"Nptn"	19.6284849126307	"MP1"
"Oser1"	19.6131417306967	"MP1"
"Vapa"	19.6083291662899	"MP1"
"Bcl2l11"	19.5748763010589	"MP1"
"Prdx5"	19.5282653499175	"MP1"
"Rpl27"	19.5076687820662	"MP1"
"Pak2"	19.503557284739	"MP1"
"Plekhm2"	19.4963109399338	"MP1"
"Lamp2"	19.4479934364726	"MP1"
"Ankrd44"	19.4356740419466	"MP1"
"Cox5b"	19.4296555763601	"MP1"
"Ppt1"	19.3932763874554	"MP1"
"Pip4k2a"	19.3887522500234	"MP1"
"Nfkbia"	19.3622068965639	"MP1"
"Crebrf"	19.3590273318237	"MP1"
"Arid4b"	19.3174134904816	"MP1"
"Atf7ip"	19.3118795203241	"MP1"
"Sec62"	19.3102208150079	"MP1"
"Ncf2"	19.3015015708622	"MP1"
