"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Cnnm4",1.4255137880425,1.86004698370902,2.22044604925031e-16,2.22044604925031e-16,2.54499162076905,0.866168726126953,3.77181063220862,2.22044604925031e-16,2.22044604925031e-16
"Cox5b",6.85039790825525,3.86094436937254,6.88300549108221,2.61920865700777,3.91802450675891,2.22044604925031e-16,6.31749921733175,5.59385702166829,6.45606778654777
"Actr1b",1.34449214169036,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.505736310788502,0.562859755150412,1.19125760977342,2.22044604925031e-16,0.918821611997654
"Tmem131",4.13589846621599,3.55804652985846,2.4095208721413e-09,7.5764644384903,3.58277768336909,2.22044604925031e-16,2.22044604925031e-16,4.18320919177297,3.49931292112627
"Cnga3",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.65810307462184,2.22044604925031e-16,0.400857074469665,0.233801625693702,2.22044604925031e-16,0.812544611610939
"Inpp4a",8.79088723438418,1.97379880583522,1.32467373158313,2.43343859856613,8.68856974709895,7.35469838519384,3.0005050393286,5.32223261696286,7.68526911661921
"Coa5",0.277736191746976,3.15806588732181e-06,4.27795841759096,0.420979800374111,0.845803690338413,1.22818812849821,2.22044604925031e-16,4.43420137378492,2.00260249762846
"Unc50",5.78784476428173e-13,0.973072898099501,7.37966241140596,1.58271197855536,2.22044604925031e-16,0.410446432516764,2.22044604925031e-16,2.22044604925031e-16,2.90495170518649
"Mgat4a",7.69663194785346,7.22039424177192,3.16097886400204,5.95207663620932,5.52541132781501,7.15892602908803,6.53678192124176,3.90261640281714,15.4316629283343
"Tsga10",2.22044604925031e-16,0.896167947668278,2.22044604925031e-16,1.33942928245906,0.698092931300817,2.19271165228391,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Mitd1",2.22044604925031e-16,2.14408064539245,2.22044604925031e-16,0.413753900928324,0.898166610775955,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Mrpl30",0.620589571957243,3.88810357810087,1.57464593886326,1.40169676529485,0.278067302906707,1.32290160359045,1.09573029254755e-10,2.22044604925031e-16,0.327882776438251
"Txndc9",0.972736311789047,2.64333871093059,4.15049647341748,1.26043376872496,2.22044604925031e-16,2.22044604925031e-16,9.24379929952817e-05,2.12116052959028,2.22044604925031e-16
"Eif5b",0.337718887342957,0.522516102149138,2.22044604925031e-16,0.789935165380236,0.0513053017976234,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Rev1",0.842870705345386,2.22044604925031e-16,2.22044604925031e-16,0.00013161370042605,0.220778272447605,0.606303268613231,1.59554251089383,0.949488515430814,2.22044604925031e-16
"Aff3",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.71955131797692,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Pdcl3",2.22044604925031e-16,2.96985412047135,3.03186223098168,1.56661982491859,0.471829692101845,2.93618264358421,0.724573613310969,0.969314728235547,2.15485828503672
"Rpl31",1.76672296149518,2.22044604925031e-16,7.53697770028647,2.69364435423047,1.04349296588703e-15,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tbc1d8",2.22044604925031e-16,1.48474161604772,0.382961527989786,3.77097358788808,1.75744055855676,2.2944406821895,4.3645336527987,1.38623079399001,2.27651190709827
"Cnot11",2.22044604925031e-16,0.0478311211542638,2.22044604925031e-16,0.53484434893151,2.22044604925031e-16,2.16760696692832,2.22044604925031e-16,2.22044604925031e-16,0.732377364329335
"Rnf149",41.2435550087876,35.7106771728058,36.6161205172961,4.9034759331147,33.3627907711559,57.0031088279702,74.0781574514486,53.6410760255743,36.3746560767856
"Map4k4",5.67054317468037,0.0176944259191451,13.4631978472886,7.05287295280116,0.195057504717305,15.0194112475958,27.8363828220416,1.8819246227882,8.76749786685077
"Il1r2",61.8184711640468,52.7866885709994,53.2765421853154,2.22044604925031e-16,45.9869469783915,59.1091443553221,45.9653488767825,71.9081779368169,55.8625204967512
"Gm16894",0.686936804728852,2.22044604925031e-16,0.693414030892671,2.22044604925031e-16,2.02519591688342,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.165116678673043
"Il1rl1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.13211773756282,0.491986404895004,1.32626977805656,2.22044604925031e-16
"Il18r1",1.61554657481081,2.22044604925031e-16,2.22044604925031e-16,1.14975393799462,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00011635288363452,1.43627628658883
"Il18rap",13.1955302279771,5.87062650979964,5.26879151545449,6.27976341299215,17.7421120444338,23.257533332178,15.0724456773985,6.59464664123498,16.8590096834602
"Tgfbrap1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.397245850823654,1.00782576924766,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Uxs1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.749050587900125,0.788588565093565,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tpp2",2.22044604925031e-16,2.22044604925031e-16,3.42246264074938,2.84023464251639,2.43110066241517e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tex30",0.322615327079863,2.22044604925031e-16,2.22044604925031e-16,2.95675645111937,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ercc5",1.36761479757022,2.22044604925031e-16,2.22044604925031e-16,0.624577603018625,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.894538692920273,2.22044604925031e-16
"Slc40a1",14.8205956752623,6.47136193235166,1.31142196216084e-05,2.22044604925031e-16,26.029950758669,3.13285637801853,2.57145541169148,15.136090344536,2.22044604925031e-16
"Gm28321",2.22044604925031e-16,1.56333826161354,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00288742244063298
"Nabp1",13.8356031917092,0.176513482269941,11.7308571410262,1.60579041860877,5.35355481280005,16.3623011310495,4.90207801075623,6.30271831050005,16.0698450025785
"Stat4",9.24336764958526,1.51357875196747,2.22044604925031e-16,6.21780189332994,2.22044604925031e-16,0.000457874488342373,11.0945178698578,2.22044604925031e-16,2.22044604925031e-16
"Stat1",2.22044604925031e-16,15.5643228799694,4.58125752400701,1.68535487854091,9.11249537119119,0.0332033310262585,3.02158445869862,2.22044604925031e-16,2.95694799011594
"Gls",12.0907810234402,6.74087550767192,9.2563970388328,5.09395490938602,14.0042201554539,13.7721636973749,8.40061342132575,6.29995862482314,6.55811802584537
"Nab1",16.3616998864589,11.0918563869465,22.3230764916694,3.3826529364927,1.18170888401777,22.3683186113202,29.3467832496527,4.31265450010955,14.1768422302811
"Tmem194b",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.930300804477596,0.791231596998141,0.597273370941237,2.22044604925031e-16,1.0081013267199,2.22044604925031e-16
"Mfsd6",2.16083361600196,8.14691295498401,3.30089874301831,4.5825033766401,9.51781569249314,2.22044604925031e-16,6.31331952595045,8.90500099554414,4.13831264662389
"Inpp1",2.22044604925031e-16,0.911211282680979,2.22044604925031e-16,2.2062382545416,1.81006401944027,2.22044604925031e-16,2.37544692615135,1.91001533120735,5.54460987194905
"Hibch",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.985775707344824,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.31395315488578
"Ormdl1",1.12080730289394,2.22044604925031e-16,0.852640255807409,2.22044604925031e-16,2.22044604925031e-16,1.74287368512263,2.22044604925031e-16,1.4107084675312e-08,2.22044604925031e-16
"Asnsd1",1.30073320848931,2.22044604925031e-16,1.57914039914448e-09,1.16160518500576,0.201555298910411,2.22044604925031e-16,1.67514163782915,4.80346414011614e-16,1.25890620135651
"Dnah7a",0.744872701044802,2.22044604925031e-16,0.612968194368845,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.407071908023293,2.22044604925031e-16,2.22044604925031e-16
"Stk17b",21.7473042205418,27.0358429966347,18.9414888838651,11.5483101098524,46.2958014104955,33.0959491775499,14.964009789124,41.5161066104824,34.101445461619
"Hecw2",0.551951476077149,2.22044604925031e-16,2.22044604925031e-16,0.60987052195736,1.55823453712385,4.63054910795924e-15,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ankrd44",21.1432654122992,12.3781544846911,6.4487450885179,2.18138803782925,24.1393684467662,28.2548516329888,19.2845274850432,15.4861678510718,12.725967322293
"4930444A19Rik",1.35191580700062,2.00823765702817,2.22044604925031e-16,2.22044604925031e-16,0.525765392131479,2.1589114515363,2.22044604925031e-16,2.22044604925031e-16,0.57317673411945
