"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4"
"232","Anxa2","Vps37b","Gab2","Ankrd11"
"233","Rbms1","Rab11fip1","Aldoa","Igfbp6"
"234","Dgat1","Spi1","Nedd9","Cmip"
"235","Gm5483","S100a6","Lamp2","Usp34"
"236","Sh2d3c","Cd300lf","Cd33","Atp6ap2"
"237","Gmfg","Mbnl2","Ier2","Ppp1r12a"
"238","Rps27a","Dusp2","Cap1","Ptp4a2"
"239","Kctd12","Anxa1","Calm2","Ythdc1"
"240","Bcl2l1","Socs3","Oaz1","Mef2a"
"241","Srsf5","Mrpl33","Ncor1","Rap1b"
"242","Pbx1","Adam17","Ankrd33b","March7"
"243","Tax1bp1","Zc3hav1","Coq10b","Dlg1"
"244","Marcks","Csf1","Calm1","Serinc3"
"245","Chmp4b","Tax1bp1","H2-K1","Rock1"
"246","Anxa1","H2-Q7","Vim","Tra2a"
"247","Nfe2l2","Cd274","Ets2","Itpr2"
"248","Gm5150","Gnai2","Hif1a","Laptm5"
"249","Klhl2","Gng5","Rpl9","Rab2a"
"250","Smchd1","Lilr4b","Klf3","Rpl22"
"251","4932438A13Rik","Gpbp1","Rhoa","mt-Nd5"
"252","Mirt1","Cxcr2","Ppp1r2","Spag9"
"253","Itpkb","Dock2","Map3k5","Myo1f"
"254","Ddx3x","Trps1","Chst11","Impact"
"255","Myh9","Sod2","Ptpn1","Sdcbp"
"256","Atp6v1g1","Cd84","Ypel3","Tbc1d15"
"257","Stfa2l1","Prdx5","Sh3glb1","Gm2a"
"258","B2m","Ctsz","Lilr4b","Rps25"
"259","Top1","App","Mctp2","Dock11"
"260","Aff4","Srsf5","C5ar1","Etv6"
"261","Retnlg","Btbd9","Hcar2","Zcchc7"
"262","Ube2d3","Arhgap26","Rps10","Ptpn12"
"263","Gnai2","Fam134b","Rps12","Hspa5"
"264","Ifitm3","Dhx40","Adam8","Cebpb"
"265","Zyx","Selplg","Clec4e","Il15"
"266","Ptafr","Rab20","Cd53","Rbm3"
"267","Ier5","Anxa2","Cox8a","Zcchc11"
"268","Myl12b","Vasp","Serinc3","Atp6v0e"
"269","Gapdh","1700112E06Rik","Klhl2","Actg1"
"270","Dock2","Igsf6","Vasp","Tnrc6c"
"271","Cfl1","Braf","Dhrs9","Ddx3x"
"272","Tnfrsf1b","Slfn4","Il1f9","Pcbp2"
"273","Slc25a3","Rpl18a","Emb","Rassf3"
"274","mt-Co2","Serf2","Shfm1","Syk"
"275","Clic1","mt-Co3","Pde4b","Pip5k1b"
"276","Msra","Alcam","Por","Huwe1"
"277","Itm2b","Mirt1","AB124611","Ube2d2a"
"278","Cdk2ap2","Atp6v0d1","Capzb","Txnip"
"279","Fbxo11","Tspo","Ube2b","Ash1l"
"280","Pafah1b1","Gsap","Rab7","Asap1"
"281","Hpcal1","Inpp5d","Hck","Acsl1"
"282","Lrrfip1","Themis2","Adgre5","Ssu72"
"283","Rps27","Nup98","Arhgap26","Map3k5"
"284","Mapkapk2","Neurl3","Steap4","Msrb1"
"285","Pag1","mt-Atp6","Glipr2","Ezr"
"286","Mrgpra2b","Klf6","Rbm39","Tmem59"
"287","Ago2","Dclre1c","Cyp4f18","Abi1"
"288","Gpcpd1","Ube2b","Slpi","Zfp36l1"
"289","Irak2","Sf3b1","Eno1","Cited2"
"290","Eif4a1","Itm2b","Eif4ebp1","Rpl6"
"291","Gtdc1","Ctsd","Atrnl1","Bre"
"292","Gk","Stat3","Bcl6","March3"
"293","Pkm","Baz2b","Lbr","Herc4"
"294","Mctp1","Bcl2l11","Fam32a","Map1lc3b"
"295","Cltc","Gtdc1","Prkcb","Tra2b"
"296","Ncf4","Jak1","Rps27","Smg1"
"297","Chd7","Lamp2","Lrrfip1","Nfat5"
"298","Gpr35","Clk1","Pten","Chchd2"
"299","Emd","Ppp1r2","Kctd12","Mef2d"
"300","Slc22a15","Chmp4b","Trps1","Jak1"
